scheme,dist_bin,samples,pdr,latency_ms_mean,latency_ms_p95,sinr_mean,nlos_rate,busy_mean,retries_mean
C-V2X_Mode4_SPS,0,62653,0.9912214897929867,1.9577017039639808,3.377985605446766,40.404335033841164,0.18083731026447258,0.005427992274911018,0.003926388201682281
C-V2X_Mode4_SPS,50,61553,0.9773853427127841,1.9662605346786401,3.38629322113934,26.117553735238204,0.30609393530778356,0.005428395041671407,0.009455266193361818
C-V2X_Mode4_SPS,100,60231,0.8994371669074065,2.010188485754319,3.641059037385966,18.762457581459735,0.429513041457057,0.0054404044428948565,0.037953877571350304
C-V2X_Mode4_SPS,150,58514,0.7458727825819462,2.09415904583135,3.9422712479674336,12.854374544147847,0.5583791913046451,0.005417370202002941,0.09406295929179341
C-V2X_Mode4_SPS,200,56673,0.5594198295484623,2.1867165498757215,4.1960132652145194,7.68884723350697,0.6821237626382933,0.005418188555396751,0.16108199671801388
C-V2X_Mode4_SPS,250,54511,0.37674964686026674,2.280154206661095,4.490736607048286,3.022734337384679,0.8045165196015484,0.005422190016693879,0.22314762158096532
C-V2X_Mode4_SPS,300,53185,0.26727460750211524,2.3352811710036243,4.618125269834212,0.14832146120602932,0.8494688351978942,0.005429162357807654,0.26236720879947356
C-V2X_Mode4_SPS,350,51777,0.2237093690248566,2.352833485970315,4.747112616173445,-1.5491304604210197,0.8484462212951697,0.005436641752129325,0.27462000502153466
C-V2X_Mode4_SPS,400,50157,0.1942899296209901,2.366708901094485,4.7152040760640865,-3.0651077278405663,0.8487349721873317,0.005428255278425744,0.28370915325876744
C-V2X_Mode4_SPS,450,48558,0.17548086824004283,2.3720992513991406,4.699992728047668,-4.445863309945207,0.8509205486222662,0.005412516989991351,0.28870628938588905
C-V2X_Mode4_SPS,500,47022,0.1686869975756029,2.3832913175015573,4.7723931476636885,-5.628602336867503,0.8467313172557527,0.005435243077708307,0.29409638041767683
C-V2X_Mode4_SPS,550,46164,0.15798024434624383,2.3877787760562805,4.76637599212333,-6.848088568565058,0.8501213066458713,0.00545236547959449,0.2940603067325189
C-V2X_Mode4_SPS,600,43772,0.15468792835602668,2.3757692863498927,4.745111400031466,-7.751887372289928,0.8490359133692772,0.00543964178013342,0.2959197660604953
C-V2X_Mode4_SPS,650,42178,0.14592915738062498,2.389120214551803,4.695016116109233,-8.762270212437194,0.8528616814453033,0.005440016122148988,0.30006164351083503
DSRC_80211p,0,60219,0.9550474102857902,3.183654427393558,6.4962177539651265,35.246701608598855,0.18253375180590845,0.008881748285424866,0.12442916687424235
DSRC_80211p,50,59320,0.8878455832771409,3.5619122258786646,8.218484061649512,20.87372399980383,0.3056473364801079,0.008862946729602158,0.2713250168577208
DSRC_80211p,100,57968,0.7859681203422578,4.13845199323381,9.952610629792012,13.236401177183216,0.43329078112061825,0.008886195832183275,0.4989131934860613
DSRC_80211p,150,55932,0.6358971608381606,4.932839641047708,11.499950741717834,7.435139062458294,0.5578380891082029,0.008875867124365302,0.8158120574983909
DSRC_80211p,200,53934,0.47493232469314345,5.7146955888721855,12.429197647730977,2.277639823837934,0.6829643638521156,0.008879927318574555,1.1349797901138428
DSRC_80211p,250,51676,0.3110534871120056,6.488586009682859,13.062964914251975,-2.6725453601701097,0.8075121913460794,0.008917679386949456,1.4503638052480843
DSRC_80211p,300,50261,0.2258411094088856,6.865513268516405,13.478192283434147,-5.263041363838381,0.8481725393446211,0.008881538369710115,1.6045641750064663
DSRC_80211p,350,50071,0.18759361706376945,7.032312773904843,13.52258593336064,-7.048442876674759,0.8476962712947614,0.008874697928940906,1.666713267160632
DSRC_80211p,400,47926,0.1587238659600217,7.13244149557707,13.59112203205152,-8.682567559041052,0.8502900304636314,0.008903100613445729,1.7118891624587906
DSRC_80211p,450,46659,0.14798859812683512,7.160876728441468,13.557511814087665,-9.774220898198129,0.8486465633639813,0.0088873529222658,1.7272337598319725
DSRC_80211p,500,45138,0.13779963666976827,7.231576338636292,13.673140781208799,-11.167416675827324,0.8488413310292879,0.008902919934423326,1.745137135008197
DSRC_80211p,550,43472,0.13197000368053,7.259695568888984,13.533657626374517,-12.236947196947552,0.8507315053367684,0.008911598270150903,1.75604987118145
DSRC_80211p,600,42890,0.1268127768710655,7.261066855279523,13.675929204794361,-13.355140653277962,0.8486127302401493,0.008891349965026813,1.7650034973187223
DSRC_80211p,650,40848,0.1225274187230709,7.317976297312247,13.743959735807882,-14.252864515596366,0.8498090481786134,0.008879014884449667,1.7733059146102625
